Estado,Senador,Partido,Partido
Aguascalientes,Juan Antonio Mart¡n del Campo,Picture,PAN
Aguascalientes,Mar¡a de Jes£s D¡az Marmolejo,Picture,PAN
Baja California,Gustavo S nchez V squez,Picture,PAN
Baja California Sur,Susana Zatarain Garc¡a,Picture,PAN
Campeche,Daniel Barreda Pav¢n3?4?,Movimiento Ciudadano,Movimiento Cuidadano
Chihuahua,Mario V zquez Robles,Picture,PAN
Ciudad de M‚xico,Cynthia L¢pez Castro,Picture,PRI
Coahuila,Miguel Riquelme Sol¡s,Picture,PRI
Colima,Mely Romero Celis,Picture,PRI
Durango,Gina Campuzano Gonz lez,Picture,PAN
Guanajuato,Miguel M rquez M rquez,Picture,PAN
Guerrero,Manuel A¤orve Ba¤os,Picture,PRI
Hidalgo,Carolina Viggiano Austria,Picture,PRI
Jalisco,Francisco Ram¡rez Acu¤a,Picture,PAN
M‚xico,Enrique Vargas del Villar,Picture,PAN
Morelos,?ngel Garc¡a Y ¤ez,Picture,PRI
Nayarit,Ivideliza Reyes Hern ndez,Picture,PAN
Nuevo Le¢n,Luis Donaldo Colosio Riojas,Movimiento Ciudadano,Movimiento Cuidadano
Puebla,N‚stor Camarillo Ortega,Picture,PRI
Quer‚taro,Guadalupe Murgu¡a Guti‚rrez,Picture,PAN
Quer‚taro,Agust¡n Dorantes L mbarri,Picture,PAN
Quintana Roo,Mayuli Mart¡nez Sim¢n,Picture,PAN
San Luis Potos¡,Ver¢nica Rodr¡guez Hern ndez,Picture,PAN
Sinaloa,Paloma S nchez Ramos,Picture,PRI
Sonora,Manlio Fabio Beltrones,Picture,PRI
Tamaulipas,Imelda Sanmiguel S nchez,Picture,PAN
Tlaxcala,Anabell ?valos Zempoalteca,Picture,PRI
Veracruz,Miguel ?ngel Yunes M rquez,Picture,PAN
Yucat n,Rolando Zapata Bello,Picture,PRI
Zacatecas,Claudia Anaya Mota,Picture,PRI
Lista Nacional,Marko Cort‚s Mendoza,Picture,PAN
Lista Nacional,Michel Gonz lez M rquez,Picture,PAN
Lista Nacional,Ricardo Anaya Cort‚s,Picture,PAN
Lista Nacional,Lilly T‚llez,Picture,PAN
Lista Nacional,Mauricio Vila Dosal,Picture,PAN
Lista Nacional,Laura Esquivel Torres,Picture,PAN
Lista Nacional,Alejandro Moreno C rdenas,Picture,PRI
Lista Nacional,Karla Toledo Zamora,Picture,PRI
Lista Nacional,Pablo Angulo Brice¤o,Picture,PRI
Lista Nacional,Cristina Ruiz Sandoval,Picture,PRI
Lista Nacional,Clemente Casta¤eda Hoeflich,Picture,Movimiento Cuidadano
Lista Nacional,Alejandra Barrales,Picture,Movimiento Cuidadano
Lista Nacional,Amalia Garc¡a Medina,Picture,Movimiento Cuidadano
